X1,idcomposite,nom_agglocomposite,province,pays,year,nb_pub,discipline,pop2012,ec_dads_etp_2014,label_ds,label_dsh,label_d,city_label
1,AAPOINT8268,VILLEFRANCHE-DE-ROUERGUE,NA,FRANCE,2014,0.833333333333333,D1,11712,NA,Basic biology,Bbio,Basic biology,NA
2,AAPOLY7393,PAMIERS,NA,FRANCE,2014,0.5,D1,64312,NA,Basic biology,Bbio,Basic biology,PAMIERS
3,AAPOLY5592,ARGENTAN,NA,FRANCE,2014,0,D1,20458,NA,Basic biology,Bbio,Basic biology,NA
4,AAPOLY7284,MULHOUSE,NA,FRANCE,2014,19.0040053322033,D1,646763,Under_NDA,Basic biology,Bbio,Basic biology,MULHOUSE
5,AAPOLY7634,ROUEN,NA,FRANCE,2014,60.6151798893911,D1,826947,Under_NDA,Basic biology,Bbio,Basic biology,ROUEN
6,AAPOLY7868,SAINT-PIERRE-LES-NEMOURS,NA,FRANCE,2014,0.333333333333333,D1,82607,NA,Basic biology,Bbio,Basic biology,NA
7,AAPOLY6285,DIGNE-LES-BAINS,NA,FRANCE,2014,0.2,D1,36227,Under_NDA,Basic biology,Bbio,Basic biology,DIGNE
8,AAPOLY8230,VESOUL,NA,FRANCE,2014,0.166666666666667,D1,27605,Under_NDA,Basic biology,Bbio,Basic biology,VESOUL
9,AAPOLY7330,NOUMEA,NEW-CALEDONIA,FRANCE,2014,6.69166666666667,D1,175221.5,NA,Basic biology,Bbio,Basic biology,NOUMEA
10,AAPOLY5967,CARCASSONNE,NA,FRANCE,2014,0,D1,205457,Under_NDA,Basic biology,Bbio,Basic biology,CARCASSONNE
11,AAPOLY8303,VILLIERS-EN-BOIS,NA,FRANCE,2014,4.38571428571429,D1,186122,Under_NDA,Basic biology,Bbio,Basic biology,NA
12,AAPOLY6426,FONT-ROMEU,NA,FRANCE,2014,0.5,D1,24782,NA,Basic biology,Bbio,Basic biology,FT-ROMEU
13,AAPOLY7363,ORLEANS,NA,FRANCE,2014,34.3609397770688,D1,454695,Under_NDA,Basic biology,Bbio,Basic biology,ORLEANS
14,AAPOLY7405,PAU,NA,FRANCE,2014,18.0361111111111,D1,433429,Under_NDA,Basic biology,Bbio,Basic biology,PAU
15,AAPOLY5937,CAHORS,NA,FRANCE,2014,0.083333333333333,D1,73996,NA,Basic biology,Bbio,Basic biology,CAHORS
16,AAPOLY10630,RHEINMUNSTER,NA,FRANCE,2014,1.35119047619048,D1,202077,NA,Basic biology,Bbio,Basic biology,NA
17,AAPOLY6547,GUADELOUPE,NA,FRANCE,2014,0.166666666666667,D1,122919,NA,Basic biology,Bbio,Basic biology,NA
18,AAPOLY7417,PERONNE,NA,FRANCE,2014,1.02045454545455,D1,101651,Under_NDA,Basic biology,Bbio,Basic biology,PERONNE
19,AAPOLY6410,FLORAC,NA,FRANCE,2014,0,D1,24345,NA,Basic biology,Bbio,Basic biology,FLORAC
20,AAPOLY6028,CHALONS-SUR-MARNE,NA,FRANCE,2014,0.266666666666667,D1,81127,Under_NDA,Basic biology,Bbio,Basic biology,NA
21,AAPOLY6060,CHARLEVILLE-MEZIERES,NA,FRANCE,2014,0.575,D1,163942,Under_NDA,Basic biology,Bbio,Basic biology,CHARLEVILLE
22,AAPOLY6794,LA-TREMBLADE,NA,FRANCE,2014,3.45833333333333,D1,129199,NA,Basic biology,Bbio,Basic biology,NA
23,AAPOLY5713,BASTIA,NA,FRANCE,2014,0.416666666666667,D1,71038,Under_NDA,Basic biology,Bbio,Basic biology,NA
24,AAPOLY7704,SAINT-DENIS,REUNION,FRANCE,2014,11.8621207264957,D1,626378,NA,Basic biology,Bbio,Basic biology,NA
