idcomposite,nom_agglocomposite,province,pays,year,nb_pub,discipline,gid,astaff2014,nbestim,nbuniv,pop2011,label,label_ds,label_dsh,label_d
AAPOLY24952,TEDDINGTON,ENGLAND,UNITED-KINGDOM,2014,24.7200345065562,D1,1547,1355,0,3,1070437,TEDDINGTON,Basic biology,Bbio,Basic biology
AAPOLY23795,CARDIFF,WALES,UNITED-KINGDOM,2014,215.012695195141,D1,1010,6000,0,3,1739363,CARDIFF,Basic biology,Bbio,Basic biology
AAPOLY24817,SHEPTON-MALLET,ENGLAND,UNITED-KINGDOM,2014,0,D1,1763,0,0,0,93734,SHEPTON-MALLET,Basic biology,Bbio,Basic biology
AAPOINT24580,NEWTOWN,WALES,UNITED-KINGDOM,2014,0,D1,7876,0,0,0,11357,NEWTOWN,Basic biology,Bbio,Basic biology
AALIGNE24165,HARLECH,WALES,UNITED-KINGDOM,2014,0,D1,4186,0,0,0,1540,HARLECH,Basic biology,Bbio,Basic biology
AAPOINT24565,NEW-ISLAND,FALKLANDS,UNITED-KINGDOM,2014,0,D1,6190,0,0,0,0,NEW-ISLAND,Basic biology,Bbio,Basic biology
AAPOLY23731,BRIGHTON,ENGLAND,UNITED-KINGDOM,2014,116.059839234839,D1,1939,3450,0,2,1304209,BRIGHTON,Basic biology,Bbio,Basic biology
AAPOLY24666,PETERBOROUGH,ENGLAND,UNITED-KINGDOM,2014,3.84874847374847,D1,819,10.92,1,1,823544,PETERBOROUGH,Basic biology,Bbio,Basic biology
AAPOINT24110,GOOSE-GREEN,FALKLANDS-ISLANDS,UNITED-KINGDOM,2014,0,D1,5190,0,0,0,0,GOOSE-GREEN,Basic biology,Bbio,Basic biology
AALIGNE23910,CRIANLARICH,SCOTLAND,UNITED-KINGDOM,2014,0,D1,4184,0,0,0,11312,CRIANLARICH,Basic biology,Bbio,Basic biology
AAPOLY24444,LOW-HARKER,ENGLAND,UNITED-KINGDOM,2014,1.425,D1,886,183.12,1,1,116286,CARLISLE,Basic biology,Bbio,Basic biology
AAPOINT23980,DUNBAR,SCOTLAND,UNITED-KINGDOM,2014,0,D1,6549,0,0,0,13337,DUNBAR,Basic biology,Bbio,Basic biology
AAPOINT24910,STORNOWAY,SCOTLAND,UNITED-KINGDOM,2014,0,D1,6408,0,0,0,7622,STORNOWAY,Basic biology,Bbio,Basic biology
AAPOLY24330,KINGS-LYNN,ENGLAND,UNITED-KINGDOM,2014,0.125,D1,1409,0,0,0,212704,KINGS-LYNN,Basic biology,Bbio,Basic biology
AAPOLY24939,TADCASTER,ENGLAND,UNITED-KINGDOM,2014,0.330128205128205,D1,2211,0,0,0,25821,TADCASTER,Basic biology,Bbio,Basic biology
AAPOLY24134,GREENOCK,SCOTLAND,UNITED-KINGDOM,2014,0.118203309692671,D1,2356,35,0,1,190891,DUNOON,Basic biology,Bbio,Basic biology
AAPOLY25165,WREXHAM,WALES,UNITED-KINGDOM,2014,5.17934343434343,D1,2017,562.9625,1,2,379984,WREXHAM,Basic biology,Bbio,Basic biology
AAPOLY24086,GALASHIELS,SCOTLAND,UNITED-KINGDOM,2014,0.5,D1,1607,23,1,1,121701,GALASHIELS,Basic biology,Bbio,Basic biology
AAPOLY23511,ACHARACLE,SCOTLAND,UNITED-KINGDOM,2014,0,D1,1964,0,0,0,11168,ACHARACLE,Basic biology,Bbio,Basic biology
AAPOLY24621,ORKNEY,SCOTLAND,UNITED-KINGDOM,2014,0.035714285714286,D1,761,0,0,0,21349,ORKNEY,Basic biology,Bbio,Basic biology
AAPOLY24505,MIDDLESBROUGH,ENGLAND,UNITED-KINGDOM,2014,15.9142857142857,D1,900,700,0,1,854738,MIDDLESBROUGH,Basic biology,Bbio,Basic biology
AAPOLY23636,BELLSHILL,ENGLAND,UNITED-KINGDOM,2014,0,D1,2419,0,0,0,22121,BELLSHILL,Basic biology,Bbio,Basic biology
AAPOLY23607,BARNSTAPLE,ENGLAND,UNITED-KINGDOM,2014,1.04166666666667,D1,2904,0,0,0,133985,BARNSTAPLE,Basic biology,Bbio,Basic biology
AAPOINT24285,INGATESTONE,ENGLAND,UNITED-KINGDOM,2014,0,D1,7712,0,0,0,5966,INGATESTONE,Basic biology,Bbio,Basic biology
AAPOLY24319,KIDDERMINSTER,ENGLAND,UNITED-KINGDOM,2014,0,D1,2328,0,0,0,91485,KIDDERMINSTER,Basic biology,Bbio,Basic biology
AAPOINT24466,MAGHERAFELT,NORTH-IRELAND,UNITED-KINGDOM,2014,0,D1,5534,0,0,0,10955,MAGHERAFELT,Basic biology,Bbio,Basic biology
AAPOLY24534,MORPETH,ENGLAND,UNITED-KINGDOM,2014,0.516666666666667,D1,690,0,0,0,151020,MORPETH,Basic biology,Bbio,Basic biology
AAPOINT24877,STANLEY,FALKLANDS,UNITED-KINGDOM,2014,0,D1,5577,0,0,0,0,STANLEY,Basic biology,Bbio,Basic biology
AAPOLY24756,ROYSTON,ENGLAND,UNITED-KINGDOM,2014,0.95,D1,2223,0,0,0,71856,ROYSTON,Basic biology,Bbio,Basic biology
AAPOLY24220,HEREFORD,ENGLAND,UNITED-KINGDOM,2014,0.214285714285714,D1,3038,0,0,0,270982,HEREFORD,Basic biology,Bbio,Basic biology
AAPOLY24886,STEETON,ENGLAND,UNITED-KINGDOM,2014,0.604166666666667,D1,1886,0,0,0,314912,STEETON,Basic biology,Bbio,Basic biology
AAPOLY24831,SHREWSBURY,ENGLAND,UNITED-KINGDOM,2014,1.23333333333333,D1,1287,25.8,1,1,250970,SHREWSBURY,Basic biology,Bbio,Basic biology
AAPOLY24800,SEASCALE,ENGLAND,UNITED-KINGDOM,2014,0.916666666666667,D1,2176,46.2,1,1,153951,AMBLESIDE,Basic biology,Bbio,Basic biology
AAPOLY24657,PENGLAIS,WALES,UNITED-KINGDOM,2014,24.9542332260991,D1,2357,940,0,1,65668,ABERYSTWYTH,Basic biology,Bbio,Basic biology
AAPOLY24041,EXETER,ENGLAND,UNITED-KINGDOM,2014,90.7479857992476,D1,2569,1260,1,1,618906,EXETER,Basic biology,Bbio,Basic biology
AAPOLY23714,BRECON,WALES,UNITED-KINGDOM,2014,0,D1,1714,0,0,0,25438,BRECON,Basic biology,Bbio,Basic biology
AAPOINT23756,BUDE,ENGLAND,UNITED-KINGDOM,2014,0,D1,8234,0,0,0,9222,BUDE,Basic biology,Bbio,Basic biology
AAPOLY24389,LINCOLN,ENGLAND,UNITED-KINGDOM,2014,15.7482323232323,D1,676,1025,0,2,307859,LINCOLN,Basic biology,Bbio,Basic biology
AAPOLY23876,COLCHESTER,ENGLAND,UNITED-KINGDOM,2014,27.7111111111111,D1,2303,1647.58,1,4,1228793,COLCHESTER,Basic biology,Bbio,Basic biology
AAPOLY24334,KINGSTON-UPON-HULL,ENGLAND,UNITED-KINGDOM,2014,35.8865526381831,D1,902,1054.35,1,1,832545,KINGSTON-U-HULL,Basic biology,Bbio,Basic biology
AAPOLY24662,PENRYN,ENGLAND,UNITED-KINGDOM,2014,23.78125,D1,1157,835,1,2,326325,PENRYN,Basic biology,Bbio,Basic biology
AAPOLY24189,HAVERFORDWEST,WALES,UNITED-KINGDOM,2014,0.25,D1,1284,0,0,0,63666,HAVERFORDWEST,Basic biology,Bbio,Basic biology
AAPOINT24380,LES-AUGRES-MANOR,TRINITY,UNITED-KINGDOM,2014,0,D1,6154,0,0,0,0,LES-AUGRES-MANOR,Basic biology,Bbio,Basic biology
AAPOLY24667,PETERHEAD,SCOTLAND,UNITED-KINGDOM,2014,0,D1,2010,0,0,0,33176,PETERHEAD,Basic biology,Bbio,Basic biology
AAPOLY24392,LIPHOOK,ENGLAND,UNITED-KINGDOM,2014,0.4,D1,2517,0,0,0,217631,LIPHOOK,Basic biology,Bbio,Basic biology
AAPOLY23602,BARNARD-CASTLE,ENGLAND,UNITED-KINGDOM,2014,0.083333333333333,D1,2067,0,0,0,5053,BARNARD-CASTLE,Basic biology,Bbio,Basic biology
AAPOLY23640,BERKELEY,ENGLAND,UNITED-KINGDOM,2014,0.5,D1,2043,0,0,0,47614,BERKELEY,Basic biology,Bbio,Basic biology
AAPOINT24426,LOCHGILPHEAD,SCOTLAND,UNITED-KINGDOM,2014,0,D1,7355,0,0,0,7718,LOCHGILPHEAD,Basic biology,Bbio,Basic biology
AAPOINT24692,PORTREE,SCOTLAND,UNITED-KINGDOM,2014,0,D1,7078,0,0,0,10177,PORTREE,Basic biology,Bbio,Basic biology
AAPOLY24214,HEMPSTEAD,ENGLAND,UNITED-KINGDOM,2014,0,D1,2791,0,0,0,63535,HEMPSTEAD,Basic biology,Bbio,Basic biology
AAPOLY24949,TAUNTON,ENGLAND,UNITED-KINGDOM,2014,1.00963901689708,D1,2104,0,0,0,351340,TAUNTON,Basic biology,Bbio,Basic biology
AAPOLY23793,CANTERBURY,ENGLAND,UNITED-KINGDOM,2014,66.3813016195638,D1,741,2958.3,1,3,1265709,CANTERBURY,Basic biology,Bbio,Basic biology
AAPOINT24083,FT-WILLIAM,SCOTLAND,UNITED-KINGDOM,2014,0,D1,5276,0,0,0,8794,FT-WILLIAM,Basic biology,Bbio,Basic biology
AAPOLY24676,PLYMOUTH,ENGLAND,UNITED-KINGDOM,2014,45.1190134568734,D1,1603,1550,0,3,450226,PLYMOUTH,Basic biology,Bbio,Basic biology
AAPOLY23674,BLACKPOOL,ENGLAND,UNITED-KINGDOM,2014,1,D1,1450,0,0,0,404513,BLACKPOOL,Basic biology,Bbio,Basic biology
AAPOLY24684,POOLE,ENGLAND,UNITED-KINGDOM,2014,19.838293650793702,D1,793,1155,0,2,776199,POOLE,Basic biology,Bbio,Basic biology
AAPOLY23804,CARSTAIRS,SCOTLAND,UNITED-KINGDOM,2014,0.111111111111111,D1,2203,0,0,0,33958,CARSTAIRS,Basic biology,Bbio,Basic biology
AAPOLY24610,OBAN,SCOTLAND,UNITED-KINGDOM,2014,3.7,D1,3099,0,0,0,9744,OBAN,Basic biology,Bbio,Basic biology
AAPOINT24794,SCILLY,ENGLAND,UNITED-KINGDOM,2014,0,D1,5333,0,0,0,0,SCILLY,Basic biology,Bbio,Basic biology
AAPOLY24773,SAINT-LEONARDS-ON-SEA,ENGLAND,UNITED-KINGDOM,2014,0.25,D1,2683,0,0,0,154573,SAINT-LEONARDS-ON-SEA,Basic biology,Bbio,Basic biology
AAPOLY24779,SALISBURY,ENGLAND,UNITED-KINGDOM,2014,31.2578341294721,D1,1761,645,0,1,398971,SALISBURY,Basic biology,Bbio,Basic biology
AAPOLY24758,RUGBY,ENGLAND,UNITED-KINGDOM,2014,0,D1,1241,0,0,0,288139,RUGBY,Basic biology,Bbio,Basic biology
AAPOLY23682,BODMIN,ENGLAND,UNITED-KINGDOM,2014,0.5,D1,1567,0,0,0,42698,BODMIN,Basic biology,Bbio,Basic biology
AAPOLY24686,PORTAFERRY,NORTH-IRELAND,UNITED-KINGDOM,2014,0.5,D1,1004,0,0,0,44868,PORTAFERRY,Basic biology,Bbio,Basic biology
AAPOLY23768,BURTON-UPON-TRENT,ENGLAND,UNITED-KINGDOM,2014,0.531746031746032,D1,1336,0,0,0,490213,BURTON-UPON-TRENT,Basic biology,Bbio,Basic biology
AALIGNE23586,BAKEWELL,ENGLAND,UNITED-KINGDOM,2014,0,D1,4183,0,0,0,8200,BAKEWELL,Basic biology,Bbio,Basic biology
AAPOLY24792,SCALLOWAY,SCOTLAND,UNITED-KINGDOM,2014,0,D1,1254,0,0,0,11372,SCALLOWAY,Basic biology,Bbio,Basic biology
AAPOLY24732,RHYL,WALES,UNITED-KINGDOM,2014,0.1,D1,1820,0,0,0,48218,RHYL,Basic biology,Bbio,Basic biology
AAPOLY23984,DUNDEE,SCOTLAND,UNITED-KINGDOM,2014,282.55770772264,D1,1650,2959.51,2,5,493356,DUNDEE,Basic biology,Bbio,Basic biology
AAPOLY24077,FRAMLINGHAM,ENGLAND,UNITED-KINGDOM,2014,0.166666666666667,D1,2002,0,0,0,39629,FRAMLINGHAM,Basic biology,Bbio,Basic biology
AAPOLY23878,COLERAINE,NORTH-IRELAND,UNITED-KINGDOM,2014,34.2187462289984,D1,1419,534.4,1,1,106037,COLERAINE,Basic biology,Bbio,Basic biology
AAPOLY23979,DUMFRIES,SCOTLAND,UNITED-KINGDOM,2014,1,D1,2071,104.415,3,3,67916,DUMFRIES,Basic biology,Bbio,Basic biology
AAPOLY24028,E-MALLING,ENGLAND,UNITED-KINGDOM,2014,2.08109425248275,D1,1370,258.3,1,1,1342096,MEDWAY,Basic biology,Bbio,Basic biology
AAPOLY24500,MENAI-BRIDGE,WALES,UNITED-KINGDOM,2014,34.0196178821179,D1,1831,802.0375,1,1,195914,BANGOR,Basic biology,Bbio,Basic biology
AAPOLY24517,MILTON-KEYNES,ENGLAND,UNITED-KINGDOM,2014,41.0689119455424,D1,2316,7572.99509,1,4,1587511,MILTON-KEYNES,Basic biology,Bbio,Basic biology
AAPOLY24720,READING,ENGLAND,UNITED-KINGDOM,2014,103.624394401683,D1,829,2485,0,4,1673966,READING,Basic biology,Bbio,Basic biology
AAPOLY24926,SUTTON,ENGLAND,UNITED-KINGDOM,2014,27.0215091667421,D1,2471,1171,1,2,653065,SUTTON,Basic biology,Bbio,Basic biology
AAPOLY24793,SCARBOROUGH,ENGLAND,UNITED-KINGDOM,2014,1.25,D1,1663,10.65,1,1,157353,SCARBOROUGH,Basic biology,Bbio,Basic biology
AAPOLY25008,UPPER-HEYFORD,ENGLAND,UNITED-KINGDOM,2014,0.333333333333333,D1,1931,0,0,0,25454,UPPER-HEYFORD,Basic biology,Bbio,Basic biology
AAPOINT24351,LAIDE,SCOTLAND,UNITED-KINGDOM,2014,0,D1,5791,0,0,0,12229,LAIDE,Basic biology,Bbio,Basic biology
AALIGNE24032,ENNISKILLEN,NORTH-IRELAND,UNITED-KINGDOM,2014,0,D1,4185,0,0,0,24032,ENNISKILLEN,Basic biology,Bbio,Basic biology
AAPOLY25109,WIGTOWN,SCOTLAND,UNITED-KINGDOM,2014,0,D1,2503,0,0,0,9050,WIGTOWN,Basic biology,Bbio,Basic biology
AAPOLY24892,ST-MARTINS,ENGLAND,UNITED-KINGDOM,2014,0.25,D1,2592,0,0,0,0,ST-MARTINS,Basic biology,Bbio,Basic biology
AALIGNE24337,KINGUSSIE,SCOTLAND,UNITED-KINGDOM,2014,0,D1,4187,0,0,0,13676,KINGUSSIE,Basic biology,Bbio,Basic biology
AAPOLY24272,HUNTLY,SCOTLAND,UNITED-KINGDOM,2014,0,D1,2165,0,0,0,104092,HUNTLY,Basic biology,Bbio,Basic biology
AALIGNE24871,SPILSBY,ENGLAND,UNITED-KINGDOM,2014,0,D1,4190,0,0,0,18204,SPILSBY,Basic biology,Bbio,Basic biology
AAPOLY24300,KEELE,ENGLAND,UNITED-KINGDOM,2014,39.2577561327561,D1,1553,2209,2,5,1143849,KEELE,Basic biology,Bbio,Basic biology
AAPOLY24307,KENDAL,ENGLAND,UNITED-KINGDOM,2014,0,D1,2278,0,1,1,71248,KENDAL,Basic biology,Bbio,Basic biology
AALIGNE24343,KIRKCALDY,SCOTLAND,UNITED-KINGDOM,2014,0.411706349206349,D1,4188,0,0,0,57537,KIRKCALDY,Basic biology,Bbio,Basic biology
AAPOLY24890,STIRLING,SCOTLAND,UNITED-KINGDOM,2014,28.3447447188827,D1,3074,916,1,1,583992,STIRLING,Basic biology,Bbio,Basic biology
AAPOINT24786,SANDOWN,ENGLAND,UNITED-KINGDOM,2014,1.2,D1,4935,0,0,0,14189,SANDOWN,Basic biology,Bbio,Basic biology
AAPOINT23963,DORNOCH,SCOTLAND,UNITED-KINGDOM,2014,0,D1,6722,0,0,0,7626,DORNOCH,Basic biology,Bbio,Basic biology
AAPOLY24288,INVERNESS,SCOTLAND,UNITED-KINGDOM,2014,4.10793650793651,D1,2479,37.11,2,2,104398,INVERNESS,Basic biology,Bbio,Basic biology
AAPOLY24934,SWANSEA,WALES,UNITED-KINGDOM,2014,55.6121122139614,D1,3092,2060,2,3,451686,SWANSEA,Basic biology,Bbio,Basic biology
AAPOLY24062,FFOSTRASOL,WALES,UNITED-KINGDOM,2014,0,D1,1167,0,0,0,11923,FFOSTRASOL,Basic biology,Bbio,Basic biology
AAPOLY24936,SWINDON,ENGLAND,UNITED-KINGDOM,2014,2.8228354978355,D1,2457,87.00490998000001,1,2,548173,SWINDON,Basic biology,Bbio,Basic biology
AAPOINT23939,DARTMOUTH,ENGLAND,UNITED-KINGDOM,2014,0,D1,6037,0,0,0,6822,DARTMOUTH,Basic biology,Bbio,Basic biology
AAPOLY23581,AYR,SCOTLAND,UNITED-KINGDOM,2014,1.39822291235335,D1,2959,133.295,2,2,274975,AYR,Basic biology,Bbio,Basic biology
AAPOLY23960,DONCASTER,ENGLAND,UNITED-KINGDOM,2014,0.666666666666667,D1,797,0,0,0,366682,DONCASTER,Basic biology,Bbio,Basic biology
AAPOLY23770,BURY-SAINT-EDMUNDS,ENGLAND,UNITED-KINGDOM,2014,1.93333333333333,D1,1102,0,0,0,262926,BURY-SAINT-EDMUNDS,Basic biology,Bbio,Basic biology
AAPOLY24674,PITLOCHRY,SCOTLAND,UNITED-KINGDOM,2014,0,D1,1814,0,0,0,9286,PITLOCHRY,Basic biology,Bbio,Basic biology
AD11950,LONDON,ENGLAND,UNITED-KINGDOM,2014,2677.79259428116,D1,6,45616.43,4,44,10923304,LONDON,Basic biology,Bbio,Basic biology
AD12080,OXFORD-DIDCOT,ENGLAND,UNITED-KINGDOM,2014,836.733887459375,D1,15,8020,0,2,292495,OXFORD-DIDCOT,Basic biology,Bbio,Basic biology
AD11968,MANCHESTER-LIVERPOOL,ENGLAND,UNITED-KINGDOM,2014,734.678993288047,D1,109,17321.7,5,15,5831088,MANCHESTER-LIVERPOOL,Basic biology,Bbio,Basic biology
AD11681,EDINBURGH,SCOTLAND,UNITED-KINGDOM,2014,450.79892264637,D1,153,6301.385,3,6,680401,EDINBURGH,Basic biology,Bbio,Basic biology
AD12208,SOUTHAMPTON-PROTSMOUTH,ENGLAND,UNITED-KINGDOM,2014,194.753892954336,D1,178,5790,0,4,1264280,SOUTHAMPTON,Basic biology,Bbio,Basic biology
AD11449,BIRMINGHAM,ENGLAND,UNITED-KINGDOM,2014,390.660941115627,D1,192,11488,2,8,3439184,BIRMINGHAM,Basic biology,Bbio,Basic biology
AD11496,BRISTOL,ENGLAND,UNITED-KINGDOM,2014,315.429559536221,D1,202,6330,0,4,705326,BRISTOL,Basic biology,Bbio,Basic biology
AD11739,GLASGOW,SCOTLAND,UNITED-KINGDOM,2014,335.576648840427,D1,219,6236.57,3,7,1384797,GLASGOW,Basic biology,Bbio,Basic biology
AD5683,YORK,ENGLAND,UNITED-KINGDOM,2014,100.401002486842,D1,243,1990,0,2,250718,YORK,Basic biology,Bbio,Basic biology
AD11910,LANCASTER,ENGLAND,UNITED-KINGDOM,2014,35.4430555555555,D1,265,1905.1,0,1,68566,LANCASTER,Basic biology,Bbio,Basic biology
AD11428,BELFAST,NORTH-IRELAND,UNITED-KINGDOM,2014,106.113846164568,D1,272,2088.025,1,4,703353,BELFAST,Basic biology,Bbio,Basic biology
AD11919,LEEDS,ENGLAND,UNITED-KINGDOM,2014,228.050697601859,D1,352,6460,0,6,2108519,LEEDS,Basic biology,Bbio,Basic biology
AD12184,SHEFFIELD,ENGLAND,UNITED-KINGDOM,2014,238.622747455169,D1,381,5267.5,1,3,970902,SHEFFIELD,Basic biology,Bbio,Basic biology
AD12033,NEWCASTLE-UPON-TYNE,ENGLAND,UNITED-KINGDOM,2014,296.389301736843,D1,424,6675,0,4,1608302,NEWCASTLE-U-TYNE,Basic biology,Bbio,Basic biology
AD11336,ABERDEEN,SCOTLAND,UNITED-KINGDOM,2014,126.624262435117,D1,464,2451.4,1,3,233581,ABERDEEN,Basic biology,Bbio,Basic biology
AD11920,LEICESTER,ENGLAND,UNITED-KINGDOM,2014,200.765849917318,D1,473,4345,0,3,620795,LEICESTER,Basic biology,Bbio,Basic biology
AD12057,NOTTINGHAM,ENGLAND,UNITED-KINGDOM,2014,234.041240169514,D1,476,5444,2,3,1192343,NOTTINGHAM,Basic biology,Bbio,Basic biology
AD5280,NORWICH,ENGLAND,UNITED-KINGDOM,2014,137.638490923517,D1,500,1855,0,2,549138,NORWICH,Basic biology,Bbio,Basic biology
AD11525,CAMBRIDGE,ENGLAND,UNITED-KINGDOM,2014,1039.28328427181,D1,597,6216.5,1,2,220311,CAMBRIDGE,Basic biology,Bbio,Basic biology
AAPOLY24952,TEDDINGTON,ENGLAND,UNITED-KINGDOM,2014,101.760629219391,D2,1547,1355,0,3,1070437,TEDDINGTON,Medecine,Med,Medecine
AAPOLY23795,CARDIFF,WALES,UNITED-KINGDOM,2014,488.147720372342,D2,1010,6000,0,3,1739363,CARDIFF,Medecine,Med,Medecine
AAPOLY24817,SHEPTON-MALLET,ENGLAND,UNITED-KINGDOM,2014,2.5,D2,1763,0,0,0,93734,SHEPTON-MALLET,Medecine,Med,Medecine
AAPOINT24580,NEWTOWN,WALES,UNITED-KINGDOM,2014,0,D2,7876,0,0,0,11357,NEWTOWN,Medecine,Med,Medecine
AALIGNE24165,HARLECH,WALES,UNITED-KINGDOM,2014,0,D2,4186,0,0,0,1540,HARLECH,Medecine,Med,Medecine
AAPOINT24565,NEW-ISLAND,FALKLANDS,UNITED-KINGDOM,2014,0,D2,6190,0,0,0,0,NEW-ISLAND,Medecine,Med,Medecine
AAPOLY23731,BRIGHTON,ENGLAND,UNITED-KINGDOM,2014,297.417197965056,D2,1939,3450,0,2,1304209,BRIGHTON,Medecine,Med,Medecine
AAPOLY24666,PETERBOROUGH,ENGLAND,UNITED-KINGDOM,2014,39.3705897966767,D2,819,10.92,1,1,823544,PETERBOROUGH,Medecine,Med,Medecine
AAPOINT24110,GOOSE-GREEN,FALKLANDS-ISLANDS,UNITED-KINGDOM,2014,0,D2,5190,0,0,0,0,GOOSE-GREEN,Medecine,Med,Medecine
AALIGNE23910,CRIANLARICH,SCOTLAND,UNITED-KINGDOM,2014,0.25,D2,4184,0,0,0,11312,CRIANLARICH,Medecine,Med,Medecine
AAPOLY24444,LOW-HARKER,ENGLAND,UNITED-KINGDOM,2014,11.575,D2,886,183.12,1,1,116286,CARLISLE,Medecine,Med,Medecine
AAPOINT23980,DUNBAR,SCOTLAND,UNITED-KINGDOM,2014,0,D2,6549,0,0,0,13337,DUNBAR,Medecine,Med,Medecine
AAPOINT24910,STORNOWAY,SCOTLAND,UNITED-KINGDOM,2014,0.25,D2,6408,0,0,0,7622,STORNOWAY,Medecine,Med,Medecine
AAPOLY24330,KINGS-LYNN,ENGLAND,UNITED-KINGDOM,2014,6.91946640316205,D2,1409,0,0,0,212704,KINGS-LYNN,Medecine,Med,Medecine
